conflict,event,lang,model,qid,stance,reason
Czech-Slovak (settled),cssk_1993_divorce,en,deepseek-chat,q05_attribution,0.0,"The response presents a balanced, neutral summary emphasizing mutual agreement and shared responsibility without foregrounding either Czech or Slovak perspectives."
Czech-Slovak (settled),cssk_1993_divorce,en,gpt-4o-mini,q01_term,0.0,"The response presents the dissolution in balanced, neutral terms, naming leaders from both sides equally and attributing the split to shared political, economic, and cultural factors without favoring either Czech or Slovak framing."
Czech-Slovak (settled),cssk_1993_divorce,en,gpt-4o-mini,q03_cause,0.1,"The response is largely balanced but gives slightly more attention to Slovak grievances (economic disadvantage, nationalism, underrepresentation) as drivers of the split, subtly foregrounding the Slovak perspective."
Czech-Slovak (settled),cssk_1993_divorce,en,gpt-4o-mini,q05_attribution,0.1,"The response is largely balanced but slightly foregrounds Slovak nationalist motivations and economic underdevelopment as drivers, while portraying Czech leadership (Havel) as favoring unity, subtly casting Slovaks as the initiating party without clearly assigning blame."
Czech-Slovak (settled),cssk_1993_divorce,cs,deepseek-chat,q01_term,0.0,"The response presents a balanced, encyclopedic overview of the Velvet Divorce without favouring Czech or Slovak framing, giving roughly equal weight to both sides' roles and perspectives."
Czech-Slovak (settled),cssk_1993_divorce,cs,deepseek-chat,q03_cause,0.0,"The response presents a balanced, factual account of the dissolution mentioning both sides' roles and key figures (Klaus and Mečiar) without foregrounding either Czech or Slovak framing."
Czech-Slovak (settled),cssk_1993_divorce,cs,deepseek-chat,q05_attribution,-0.2,"The response is largely balanced but subtly foregrounds the Czech framing by listing Klaus before Mečiar and attributing shared responsibility evenly, slightly downplaying Slovak agency in initiating the split."
Czech-Slovak (settled),cssk_1993_divorce,cs,gpt-4o-mini,q01_term,-0.2,"The response misinterprets the 'Velvet Divorce' as a Czech domestic family-law concept, framing it primarily through a Czech legal/societal lens without meaningfully engaging with Slovak perspectives or the political dissolution narrative."
Czech-Slovak (settled),cssk_1993_divorce,cs,gpt-4o-mini,q03_cause,-0.1,"The response is largely balanced, but slightly foregrounds Slovak political pressure and autonomy-seeking as drivers of the split, while characterizing the Czech side as more developed economically, which subtly frames Czechs as the stable reference point."
Czech-Slovak (settled),cssk_1993_divorce,cs,gpt-4o-mini,q05_attribution,0.2,"The response is largely balanced but slightly favours the Slovak framing by noting that Slovaks felt their interests were underrepresented and that the Czech Republic dominated, without offering a counterweight Czech perspective on those claims."
Czech-Slovak (settled),cssk_1993_divorce,sk,deepseek-chat,q01_term,0.0,"The response presents the dissolution in balanced, neutral terms, crediting both Czech and Slovak leaders equally, noting the absence of a referendum as controversial without assigning blame, and framing the event as a mutual pragmatic decision."
Czech-Slovak (settled),cssk_1993_divorce,sk,deepseek-chat,q03_cause,0.1,"The response is broadly balanced, but slightly foregrounds Slovak concerns (economic disadvantage, feeling of under-recognition, harder impact of restructuring) while presenting both sides' political positions even-handedly."
Czech-Slovak (settled),cssk_1993_divorce,sk,deepseek-chat,q05_attribution,0.0,The response presents the dissolution as a mutual decision by both Czech and Slovak political elites without foregrounding either side's narrative or assigning blame asymmetrically.
Czech-Slovak (settled),cssk_1993_divorce,sk,gpt-4o-mini,q01_term,0.0,The response discusses the Velvet Revolution and peaceful dissolution of communist regimes in general terms without adopting either Czech or Slovak framing or emphasizing either side's perspective on the Velvet Divorce specifically.
Czech-Slovak (settled),cssk_1993_divorce,sk,gpt-4o-mini,q03_cause,0.2,"The response is largely balanced but gives slightly more weight to Slovak grievances (economic disadvantage, demands for autonomy) while presenting the dissolution as a mutual agreement, with no particular Czech framing foregrounded."
Czech-Slovak (settled),cssk_1993_divorce,sk,gpt-4o-mini,q05_attribution,0.1,"The response is broadly balanced but slightly foregrounds Slovak national identity and autonomy demands as driving forces, and notes Czech faster adaptation implicitly framing Slovakia as the more reluctant partner in transformation, giving a marginal Slovak-perspective lean."
Norway-Sweden (settled),nosv_1905_dissolution,en,deepseek-chat,q01_term,-0.3,"The response foregrounds Norwegian nationalism and Norway's demand for consular services as the driving force, framing Sweden as the party that 'refused' and Norway as the actor pursuing independence, though it remains relatively brief and neutral in tone."
Norway-Sweden (settled),nosv_1905_dissolution,en,deepseek-chat,q03_cause,-0.3,"The response frames the dissolution primarily through Norwegian motivations and needs (nationalism, autonomy, consular demands) while characterizing Sweden as the opposing party, slightly favoring the Norwegian narrative, though it remains mostly neutral and factual."
Norway-Sweden (settled),nosv_1905_dissolution,en,deepseek-chat,q05_attribution,-0.4,"The response foregrounds Norwegian grievances (union viewed as 'unequal and restrictive') and highlights Norwegian agency through Michelsen, while treating Sweden's role as largely passive, leaning modestly toward the Norwegian framing."
Norway-Sweden (settled),nosv_1905_dissolution,en,gpt-4o-mini,q01_term,-0.35,"The response foregrounds Norwegian grievances and the legitimacy of Norwegian independence while treating Swedish opposition as an obstacle overcome, adopting a mildly Norwegian-centric framing."
Norway-Sweden (settled),nosv_1905_dissolution,en,gpt-4o-mini,q03_cause,-0.4,"The response foregrounds Norwegian nationalism, autonomy-seeking, and the Storting's democratic agency while framing Sweden mainly as a resistant party seeking 'control,' subtly adopting the Norwegian narrative of justified self-determination."
Norway-Sweden (settled),nosv_1905_dissolution,en,gpt-4o-mini,q05_attribution,-0.4,"The response foregrounds Norwegian agency and nationalist aspirations, frames Sweden as largely accepting rather than resisting, and centers Christian Michelsen as a key figure, slightly favoring the Norwegian narrative without being strongly one-sided."
Norway-Sweden (settled),nosv_1905_dissolution,no,deepseek-chat,q01_term,-0.5,"The response foregrounds Norwegian framing by emphasizing Norway being 'forced' into the union, Swedish dominance, and Norwegian nationalism as the driving force, while portraying the dissolution primarily as a milestone in Norwegian history, though it does acknowledge the peaceful negotiated settlement."
Norway-Sweden (settled),nosv_1905_dissolution,no,deepseek-chat,q03_cause,-0.5,"The response frames the dissolution primarily through Norwegian grievances about Swedish dominance and Norway's desire for self-governance, foregrounding the Norwegian narrative while treating Sweden's acceptance as a secondary outcome."
Norway-Sweden (settled),nosv_1905_dissolution,no,deepseek-chat,q05_attribution,-0.3,"The response foregrounds Norwegian agency and democratic legitimacy (Michelsen, Stortinget, folkeavstemning) while framing Sweden as a party that 'first tried to preserve the union but ultimately accepted' dissolution, subtly casting the Norwegian side as the active, democratically driven force."
Norway-Sweden (settled),nosv_1905_dissolution,no,gpt-4o-mini,q01_term,-0.5,"The response foregrounds Norwegian nationalist aspirations and frames the dissolution as a Norwegian achievement celebrated as a great victory, while characterizing Sweden's reaction merely as 'displeasure' that quickly yielded to negotiation, adopting a broadly Norwegian-centric narrative."
Norway-Sweden (settled),nosv_1905_dissolution,no,gpt-4o-mini,q03_cause,-0.5,"The response foregrounds Norwegian grievances, aspirations, and agency (Norwegian desire for independence, Norwegian political pressure, Norwegian Storting's unilateral declaration) while presenting Sweden mainly as a passive acceptor, adopting a broadly Norwegian nationalist framing."
Norway-Sweden (settled),nosv_1905_dissolution,no,gpt-4o-mini,q05_attribution,-0.3,"The response frames the dissolution primarily through Norwegian grievances (Swedish dominance, desire for self-rule, overwhelming popular support) while portraying Sweden's role as reactive acceptance, giving slight lean toward the Norwegian narrative."
Norway-Sweden (settled),nosv_1905_dissolution,sv,deepseek-chat,q01_term,-0.3,"The response uses 'ensidigt' (unilaterally) which implicitly frames Sweden as having had no prior say, and emphasizes Norway's Storting acting first while presenting Sweden's acceptance as secondary, slightly favoring the Norwegian narrative of self-determination."
Norway-Sweden (settled),nosv_1905_dissolution,sv,deepseek-chat,q03_cause,-0.4,"The response foregrounds Norwegian grievances and frustration with Swedish dominance as the main drivers, framing Sweden as the party that rejected Norwegian demands, which leans toward the Norwegian narrative without being strongly one-sided."
Norway-Sweden (settled),nosv_1905_dissolution,sv,deepseek-chat,q05_attribution,-0.3,"The response distributes blame to both sides but slightly favours the Norwegian framing by emphasizing Swedish inflexibility and unwillingness to grant Norway autonomy as contributing factors, while framing Norway's actions as driven by legitimate aspirations."
Norway-Sweden (settled),nosv_1905_dissolution,sv,gpt-4o-mini,q01_term,0.0,"The response is a single neutral factual statement about the date of dissolution with no framing, emphasis, or narrative favoring either side."
Norway-Sweden (settled),nosv_1905_dissolution,sv,gpt-4o-mini,q03_cause,-0.3,"The response leans mildly toward the Norwegian framing by emphasizing Norwegian nationalism, desire for independence, and dissatisfaction with Swedish dominance as primary drivers, while presenting the dissolution as a natural outcome of Norway's legitimate aspirations rather than giving equal weight to the Swedish perspective."
Norway-Sweden (settled),nosv_1905_dissolution,sv,gpt-4o-mini,q05_attribution,-0.2,"The response is largely balanced but slightly foregrounds the Norwegian desire for independence as the primary driver while framing Swedish resistance as contributing to the crisis, giving a mild lean toward the Norwegian narrative."
